symbol;field
TF575;'shortName'
TF583;'shortName'
TF585;'shortName'
TF593;'shortName'
TF603;'shortName'
TF623;'shortName'
TF655;'shortName'
TF665;'shortName'
TF675;'shortName'
TF681;'sector'
TF685;'shortName'
TF693;'sector'
TF703;'sector'
TF713;'sector'
TF723;'sector'
TFCO4F;'sector'
TGAR11;'sector'
TGMA3F;'sector'
THRA11;'website'
TIMS3F;'sector'
TKNO4F;'sector'
TLNC34;'state'
TMCO34;'state'
TORD11;'sector'
TORM13;'sector'
TOTS3F;'sector'
TOUR11;'sector'
TOUR12;'sector'
TOUR13;'sector'
TPIS3F;'sector'
TRAD3F;'sector'
TRIG11;'sector'
TRIS3F;'sector'
TRNT11;'sector'
TRPL3F;'sector'
TRPL4F;'sector'
TRXB11;'sector'
TRXF11;'website'
TSER11;'sector'
TSMC34;'state'
TTEN3F;'sector'
TUPY3F;'sector'
TXRX3F;'sector'
TXRX4F;'sector'
TXSA34;'state'
UBSG34;'state'
UBSR11;'sector'
UCAS3F;'sector'
UGPA3F;'sector'
ULEV34;'state'
UNIP3F;'sector'
UNIP5F;'sector'
UNIP6F;'sector'
URPR11;'sector'
USAL11;'sector'
USIM3F;'sector'
USIM5F;'sector'
USIM6F;'sector'
USTK11;'sector'
V1IP34;'sector'
V1OD34;'sector'
VALE3F;'sector'
VAMO3F;'sector'
VBBR3F;'sector'
VCJR11;'website'
VCRR11;'website'
VGHF11;'sector'
VGIA11;'sector'
VGIP11;'website'
VGIR11;'website'
VIFI11;'website'
VIGT11;'sector'
VIIA3F;'sector'
VILG11;'website'
VINO11;'website'
VISC11;'website'
VITT3F;'sector'
VIUR11;'sector'
VIVA3F;'sector'
VIVR3F;'sector'
VIVT3F;'sector'
VLID3F;'sector'
VLOL11;'website'
VOTS11;'website'
VRTA11;'website'
VSEC11;'sector'
VSHO11;'website'
VSLH11;'sector'
VTLT11;'website'
VULC3F;'sector'
VVEO3F;'sector'
VVPR11;'website'
VXXV11;'sector'
W1BO34;'sector'
W1IX34;'state'
W1LT34;'state'
W1PP34;'sector'
WEGE3F;'sector'
WEST3F;'sector'
WHRL3F;'sector'
WHRL4F;'sector'
WIZS3F;'sector'
WLMM3F;'sector'
WLMM4F;'sector'
WPLZ11;'sector'
WRLD11;'sector'
WTSP11B;'website'
XBOV11;'sector'
XFIX11;'sector'
XINA11;'sector'
XMAL11;'sector'
XPCA11;'sector'
XPCI11;'website'
XPHT11;'sector'
XPHT12;'sector'
XPID11;'sector'
XPIE11;'sector'
XPIN11;'website'
XPLG11;'website'
XPML11;'website'
XPOM11;'sector'
XPPR11;'website'
XPSF11;'website'
XTED11;'website'
YCHY11;'sector'
YDRO11;'sector'
YDUQ3F;'sector'
Z1TO34;'sector'
ZIFI11;'sector'
